Rank,Title,Rating,Episodes,Dates
195,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.44,TV (12 eps),Jan 2021 - Mar 2021
196,Komi-san wa, Comyushou desu.,7.89,TV (12 eps),Oct 2021 - Dec 2021
197,Steins;Gate 0,8.53,TV (23 eps),Apr 2018 - Sep 2018
198,No Game No Life: Zero,8.19,Movie (1 eps),Jul 2017 - Jul 2017
199,Boruto: Naruto Next Generations,6.03,TV (293 eps),Apr 2017 - Mar 2023
200,Kotonoha no Niwa,7.88,Movie (1 eps),May 2013 - May 2013
Rank,Title,Rating,Episodes,Dates
201,Btooom!,7.28,TV (12 eps),Oct 2012 - Dec 2012
202,Fumetsu no Anata e,8.35,TV (20 eps),Apr 2021 - Aug 2021
203,Banana Fish,8.47,TV (24 eps),Jul 2018 - Dec 2018
204,Kuroko no Basket 2nd Season,8.21,TV (25 eps),Oct 2013 - Mar 2014
205,Fate/stay night: Unlimited Blade Works 2nd Season,8.32,TV (13 eps),Apr 2015 - Jun 2015
206,Akatsuki no Yona,8.03,TV (24 eps),Oct 2014 - Mar 2015
207,Bungou Stray Dogs 2nd Season,8.19,TV (12 eps),Oct 2016 - Dec 2016
208,Beastars,7.83,TV (12 eps),Oct 2019 - Dec 2019
209,Akira,8.16,Movie (1 eps),Jul 1988 - Jul 1988
210,Magi: The Kingdom of Magic,8.21,TV (25 eps),Oct 2013 - Mar 2014
211,Trinity Seven,7.05,TV (12 eps),Oct 2014 - Dec 2014
212,Kokoro Connect,7.74,TV (13 eps),Jul 2012 - Sep 2012
213,Mushishi,8.66,TV (26 eps),Oct 2005 - Jun 2006
214,Orange,7.62,TV (13 eps),Jul 2016 - Sep 2016
215,Dragon Ball Super,7.44,TV (131 eps),Jul 2015 - Mar 2018
216,Great Teacher Onizuka,8.69,TV (43 eps),Jun 1999 - Sep 2000
217,Danshi Koukousei no Nichijou,8.23,TV (12 eps),Jan 2012 - Mar 2012
218,Hotarubi no Mori e,8.28,Movie (1 eps),Sep 2011 - Sep 2011
219,Fruits Basket 1st Season,8.21,TV (25 eps),Apr 2019 - Sep 2019
220,FLCL,8.03,OVA (6 eps),Apr 2000 - Mar 2001
221,Zero no Tsukaima,7.22,TV (13 eps),Jul 2006 - Sep 2006
222,Toaru Majutsu no Index,7.35,TV (24 eps),Oct 2008 - Mar 2009
223,Ookami to Koushinryou,8.22,TV (13 eps),Jan 2008 - Mar 2008
224,Ookami Kodomo no Ame to Yuki,8.57,Movie (1 eps),Jul 2012 - Jul 2012
225,Koutetsujou no Kabaneri,7.27,TV (12 eps),Apr 2016 - Jul 2016
226,Boku wa Tomodachi ga Sukunai,7.15,TV (12 eps),Oct 2011 - Dec 2011
227,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,7.24,TV (12 eps),Jul 2019 - Sep 2019
228,Higurashi no Naku Koro ni,7.88,TV (26 eps),Apr 2006 - Sep 2006
229,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,7.23,TV (12 eps),Jul 2015 - Sep 2015
230,Gate: Jieitai Kanochi nite, Kaku Tatakaeri,7.69,TV (12 eps),Jul 2015 - Sep 2015
231,Haikyuu!! To the Top Part 2,8.55,TV (12 eps),Oct 2020 - Dec 2020
232,Free!,7.33,TV (12 eps),Jul 2013 - Sep 2013
233,High School DxD BorN,7.42,TV (12 eps),Apr 2015 - Jun 2015
234,InuYasha,7.86,TV (167 eps),Oct 2000 - Sep 2004
235,Toki wo Kakeru Shoujo,8.11,Movie (1 eps),Jul 2006 - Jul 2006
236,Ijiranaide, Nagatoro-san,7.27,TV (12 eps),Apr 2021 - Jun 2021
237,Owari no Seraph: Nagoya Kessen-hen,7.62,TV (12 eps),Oct 2015 - Dec 2015
238,Yamada-kun to 7-nin no Majo,7.54,TV (12 eps),Apr 2015 - Jun 2015
239,Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou,7.37,TV (13 eps),Jul 2020 - Sep 2020
240,Jujutsu Kaisen 2nd Season,8.89,TV (23 eps),Jul 2023 - Dec 2023
